setting:	(prec, auc)
crop_eq_nonloc_23_cv.TM_CCOEFF_NORMED:	(0.9333333333333333, 3.9264499999999996)
crop_eq_opening_7_cv.TM_CCORR_NORMED:	(0.9, 3.9370666666666665)
crop_eq_opening_nonloc_7_cv.TM_CCORR_NORMED:	(0.9, 3.9254000000000007)
crop_eq_opening_nonloc_7_cv.TM_CCOEFF_NORMED:	(0.9, 3.6892000000000005)
crop_eq_nonloc_21_cv.TM_CCOEFF_NORMED:	(0.9, 3.6047000000000002)
crop_eq_nonloc_25_cv.TM_CCOEFF_NORMED:	(0.9, 3.5824666666666665)
crop_eq_nonloc_27_cv.TM_CCOEFF_NORMED:	(0.9, 3.579533333333334)
crop_eq_nonloc_29_cv.TM_CCOEFF_NORMED:	(0.9, 3.578133333333333)
crop_eq_nonloc_17_cv.TM_CCORR_NORMED:	(0.8666666666666667, 3.620416666666667)
crop_eq_nonloc_3_cv.TM_CCORR_NORMED:	(0.8666666666666667, 3.615916666666667)
crop_eq_nonloc_5_cv.TM_CCORR_NORMED:	(0.8666666666666667, 3.615916666666667)
crop_eq_0_cv.TM_CCORR_NORMED:	(0.8666666666666667, 3.6158500000000005)
crop_eq_opening_1_cv.TM_CCORR_NORMED:	(0.8666666666666667, 3.6158500000000005)
crop_eq_nonloc_1_cv.TM_CCORR_NORMED:	(0.8666666666666667, 3.6158500000000005)
crop_eq_opening_nonloc_1_cv.TM_CCORR_NORMED:	(0.8666666666666667, 3.6158500000000005)
crop_eq_nonloc_7_cv.TM_CCORR_NORMED:	(0.8666666666666667, 3.615616666666667)
crop_eq_nonloc_9_cv.TM_CCORR_NORMED:	(0.8666666666666667, 3.6154500000000005)
crop_eq_nonloc_23_cv.TM_CCORR_NORMED:	(0.8666666666666667, 3.6142833333333337)
crop_eq_nonloc_25_cv.TM_CCORR_NORMED:	(0.8666666666666667, 3.6141833333333335)
crop_eq_nonloc_21_cv.TM_CCORR_NORMED:	(0.8666666666666667, 3.613216666666667)
crop_eq_nonloc_27_cv.TM_CCORR_NORMED:	(0.8666666666666667, 3.6120166666666673)
crop_eq_nonloc_41_cv.TM_CCORR_NORMED:	(0.8666666666666667, 3.6109166666666668)
crop_eq_nonloc_39_cv.TM_CCORR_NORMED:	(0.8666666666666667, 3.6100500000000006)
crop_eq_nonloc_29_cv.TM_CCORR_NORMED:	(0.8666666666666667, 3.609516666666667)
crop_eq_nonloc_37_cv.TM_CCORR_NORMED:	(0.8666666666666667, 3.6093166666666674)
crop_eq_nonloc_35_cv.TM_CCORR_NORMED:	(0.8666666666666667, 3.6090166666666668)
crop_eq_nonloc_31_cv.TM_CCORR_NORMED:	(0.8666666666666667, 3.6089500000000005)
crop_eq_nonloc_33_cv.TM_CCORR_NORMED:	(0.8666666666666667, 3.608683333333334)
crop_eq_opening_nonloc_5_cv.TM_CCORR_NORMED:	(0.8666666666666667, 3.606516666666667)
crop_opening_nonloc_9_cv.TM_CCORR_NORMED:	(0.8666666666666667, 3.600816666666667)
crop_opening_nonloc_5_cv.TM_CCORR_NORMED:	(0.8666666666666667, 3.5998833333333344)
crop_opening_7_cv.TM_CCORR_NORMED:	(0.8666666666666667, 3.5989500000000003)
crop_eq_opening_nonloc_9_cv.TM_CCORR_NORMED:	(0.8666666666666667, 3.5962833333333335)
